"Guid","AccountId","AssistantName","AssistantPhone","Birthdate","Department","Description","Email","EmailBouncedReason","Fax","FirstName","HomePhone","Jigsaw","LastName","LeadSource","MailingCity","MailingCountry","MailingGeocodeAccuracy","MailingLatitude","MailingLongitude","MailingPostalCode","MailingState","MailingStreet","MobilePhone","OtherCity","OtherCountry","OtherGeocodeAccuracy","OtherLatitude","OtherLongitude","OtherPhone","OtherPostalCode","OtherState","OtherStreet","Phone","Salutation","Title"
16af0fbc-3deb-4d36-84d0-8b5325b6b704,0016s000002HVG4AAO,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Dark,"#N/A","#N/A",Test,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
1c028cad-a951-4114-ab0d-cfffa7297779,466d7067-56d6-4e51-81c6-576271f6d048,"#N/A","#N/A","#N/A","#N/A","Marc R. Benioff is chairman and CEO of salesforce.com. He founded the company in March 1999 with the idea to create an information utility that would make traditional enterprise software technology and business models obsolete. A veteran of 25 years in the software industry, he is now regarded as a pioneer of ""The End Of Software,"" demonstrating how on-demand applications can replace traditional software to deliver immediate benefit at reduced risk. In May 2003, Benioff was appointed by President George W. Bush as co-chair of the President's Information Technology Advisory Committee (PITAC), a bi-partisan organization of business leaders and academics charged to advise The President on how to maintain the United States' preeminent position in information technology.",info@salesforce.com,"#N/A",(415) 901-7040,Marc,"#N/A","#N/A",Benioff,"#N/A",San Francisco,USA,"#N/A","#N/A","#N/A",94105,CA,"The Landmark @ One Market, Suite 300","#N/A",San Francisco,USA,"#N/A","#N/A","#N/A","#N/A",94105,CA,"The Landmark @ One Market, Suite 300",(415) 901-7000,Mr.,Executive Officer
237969ec-17e7-4a21-9902-6c233535dae3,add333bf-23fb-47ab-899a-9cceb2b97511,"#N/A","#N/A","#N/A","#N/A","#N/A",info@salesforce.com,"#N/A","#N/A",Geoff,"#N/A","#N/A",Minor,"#N/A",Toronto,Canada,"#N/A","#N/A","#N/A",L4B 1Y3,Ontario,150 Chestnut Street,"#N/A",Toronto,Canada,"#N/A","#N/A","#N/A","#N/A",L4B 1Y3,Ontario,150 Chestnut Street,(415) 555-1212,"#N/A",President
2747e883-f381-4560-afa3-734567c59603,478a3f87-20f7-4fe0-af66-184c288c4253,"#N/A","#N/A","#N/A","#N/A","#N/A",info@salesforce.com,"#N/A",(212) 555-5555,Howard,"#N/A","#N/A",Jones,"#N/A",New York,USA,"#N/A","#N/A","#N/A",31349,NY,10 Main Rd.,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(212) 555-5555,"#N/A",Buyer
39ece9c0-f785-4c7e-8be2-b9ef09486a78,1d7d67dc-7470-4b6a-804e-987d146652b2,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Danish,"#N/A","#N/A",Lilly,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
5caca9bf-7748-4392-9396-6f97f43024ce,478a3f87-20f7-4fe0-af66-184c288c4253,"#N/A","#N/A","#N/A","#N/A","#N/A",info@salesforce.com,"#N/A",(212) 555-5555,Leanne,"#N/A","#N/A",Tomlin,"#N/A",New York,USA,"#N/A","#N/A","#N/A",31349,NY,10 Main Rd.,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(212) 555-5555,"#N/A",VP Customer Support
a46e8876-9ca8-451b-9738-0c55106f57f1,1d7d67dc-7470-4b6a-804e-987d146652b2,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Danish,"#N/A","#N/A",Lilly,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
a659cca2-7ecf-456e-84af-5c62a14f8b2c,add333bf-23fb-47ab-899a-9cceb2b97511,"#N/A","#N/A","#N/A","#N/A",Carole White is looking at moving forward with our products and will act as the champion for us.,info@salesforce.com,"#N/A","#N/A",Carole,"#N/A","#N/A",White,Employee Referral,Toronto,Canada,"#N/A","#N/A","#N/A",L4B 1Y3,Ontario,150 Chestnut Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(415) 555-1212,"#N/A",VP Sales
c06b3a8b-56c3-4d17-8b76-6b925c659eaa,add333bf-23fb-47ab-899a-9cceb2b97511,"#N/A","#N/A","#N/A","#N/A","#N/A",info@salesforce.com,"#N/A",(555) 555-1212,Jon,"#N/A","#N/A",Amos,"#N/A",Toronto,Canada,"#N/A","#N/A","#N/A",L4B 1Y3,Ontario,150 Chestnut Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(905) 555-1212,"#N/A",Sales Manager
d3cd4700-c5e3-4c9d-b384-f1c86e379562,478a3f87-20f7-4fe0-af66-184c288c4253,"#N/A","#N/A","#N/A","#N/A","#N/A",info@salesforce.com,"#N/A",(212) 555-5555,Edward,"#N/A","#N/A",Stamos,"#N/A",New York City,USA,"#N/A","#N/A","#N/A",31349,NY,10 Main Rd.,"#N/A",New York City,USA,"#N/A","#N/A","#N/A","#N/A",31349,NY,10 Main Rd.,(212) 555-5555,"#N/A",President and CEO
